date,cause,burned,long,lat
12/04/08,shot,N,23.80516,-19.62256
26/06/08,shot,N,23.61992,-19.58354
13/07/08,shot,Y,23.77685,-19.62101
06/08/08,shot,N,23.7277,-19.45203
08/08/08,shot,N,23.7174,-19.51591
22/08/08,shot,N,23.69192,-19.4259
10/09/08,shot,N,23.65682,-19.59103
07/11/08,shot,N,23.56847,-19.49711
13/01/09,natural,Y,23.63724,-19.5173
23/05/09,shot,Y,23.68353,-19.58393
27/05/09,shot,N,23.61055,-19.57256
05/06/09,shot,N,23.84001,-19.51156
09/06/09,shot,N,23.63026,-19.59622
06/07/09,shot,N,23.76996,-19.60441
07/07/09,shot,N,23.74674,-19.50807
29/07/09,shot,Y,23.63926,-19.55863
01/08/09,natural,N,23.63344,-19.63435
25/08/09,shot,Y,23.74225,-19.45767
30/08/09,shot,N,23.76638,-19.60403
31/08/09,shot,N,23.81774,-19.56694
10/09/09,shot,N,23.61339,-19.58192
10/07/10,shot,Y,23.67383,-19.52747
10/09/10,shot,N,23.664,-19.61932
12/10/10,natural,N,23.64822,-19.48151
