Ind,CollarID,LMT_Date,LMT_Time,Lat,Lon,DOP
Ale,3732,04/06/08,18:02:22,-19.4171045,23.6233434,5.6
Ale,3732,04/06/08,20:00:53,-19.4171254,23.6229449,2.8
Ale,3732,04/06/08,22:00:44,-19.4157268,23.622571,6.6
Ale,3732,05/06/08,00:00:47,-19.4142155,23.6205247,7.4
Ale,3732,05/06/08,02:01:23,-19.4142083,23.6206578,2.8
Ale,3732,05/06/08,04:01:39,-19.4169622,23.6231112,4.2
Ale,3732,05/06/08,06:01:24,-19.4073441,23.6218638,6.2
Ale,3732,05/06/08,18:01:52,-19.4166953,23.6234072,6
Ale,3732,05/06/08,20:00:42,-19.4250848,23.6370336,2.2
Ale,3732,05/06/08,22:01:11,-19.4525364,23.6946145,4
Ale,3732,06/06/08,00:01:50,-19.4889108,23.7398249,3.2
Ale,3732,06/06/08,02:00:54,-19.549365,23.7910061,2.2
Ale,3732,06/06/08,04:01:36,-19.6013147,23.8055121,9
Ale,3732,06/06/08,06:01:41,-19.6691546,23.8019271,5.6
Ale,3732,06/06/08,18:00:54,-19.6897121,23.789978,3.6
Ale,3732,06/06/08,20:00:56,-19.7011484,23.7506401,2.2
Ale,3732,06/06/08,22:00:26,-19.6794994,23.7456815,2.8
Ale,3732,07/06/08,00:01:10,-19.6325482,23.7586959,3
Ale,3732,07/06/08,02:01:06,-19.6191785,23.779898,2
Ale,3732,07/06/08,04:00:47,-19.6106565,23.7805183,3.2
Ale,3732,07/06/08,06:01:24,-19.5319437,23.7880473,5
Ale,3732,07/06/08,18:01:50,-19.4169908,23.623327,3.6
Ale,3732,07/06/08,20:01:52,-19.4168449,23.6233968,4.2
Ale,3732,07/06/08,22:01:15,-19.416955,23.623273,2.8
Ale,3732,08/06/08,00:00:27,-19.4169257,23.6234001,9.6
Ale,3732,08/06/08,02:00:54,-19.417131,23.6324576,2
Ale,3732,08/06/08,04:00:56,-19.4234429,23.7110349,5.2
Ale,3732,08/06/08,06:00:52,-19.5212306,23.782642,16.2
Ale,3732,08/06/08,18:00:54,-19.6124344,23.838273,4.4
Ale,3732,08/06/08,20:00:48,-19.6123343,23.8382625,2.4
Ale,3732,08/06/08,22:00:49,-19.6147043,23.8361423,7.6
Ale,3732,09/06/08,00:00:39,-19.6122828,23.8383633,3.2
Ale,3732,09/06/08,02:00:54,-19.6120418,23.838376,2.2
Ale,3732,09/06/08,04:00:55,-19.5726354,23.8050648,2.4
Ale,3732,09/06/08,06:01:17,-19.454744,23.7386364,5
Ale,3732,09/06/08,18:01:30,-19.4170708,23.6233123,10.4
Ale,3732,09/06/08,20:01:27,-19.4168941,23.623363,3.6
Ale,3732,09/06/08,22:01:12,-19.4177037,23.6221681,2.8
Ale,3732,10/06/08,00:00:54,-19.4171643,23.62291,3.6
Ale,3732,10/06/08,02:00:48,-19.4167833,23.6233586,2.2
Ale,3732,10/06/08,04:01:50,-19.4169464,23.6233499,1.8
Ale,3732,10/06/08,06:00:48,-19.4181304,23.6236829,3.2
Ale,3732,10/06/08,18:01:11,-19.4390924,23.6573348,8.6
Ale,3732,10/06/08,20:00:57,-19.4572947,23.6993393,4.4
Ale,3732,10/06/08,22:00:54,-19.4972699,23.7813875,7.6
Ale,3732,11/06/08,00:00:41,-19.5632014,23.7955511,3
Ale,3732,11/06/08,02:00:55,-19.6064157,23.7927305,4.4
Ale,3732,11/06/08,04:01:18,-19.6371052,23.7693256,3.8
Ale,3732,11/06/08,06:00:54,-19.6053084,23.7511517,2.6
Ale,3732,11/06/08,18:00:54,-19.6061601,23.7525555,3.6
Ale,3732,11/06/08,20:01:20,-19.6083402,23.7544326,3.2
Ale,3732,11/06/08,22:00:36,-19.5529151,23.770583,2.4
Ale,3732,12/06/08,00:02:18,-19.4720133,23.75885,3
Ale,3732,12/06/08,02:00:47,-19.4195703,23.6699744,3
Ale,3732,12/06/08,04:00:54,-19.4167789,23.6234715,3.6
Ale,3732,12/06/08,06:00:41,-19.4169354,23.6233673,2.6
Ale,3732,12/06/08,18:01:24,-19.4169269,23.6233673,2.6
Ale,3732,12/06/08,20:00:53,-19.4168928,23.6233346,3.2
Ale,3732,12/06/08,22:02:52,-19.4169201,23.6234736,8.4
Ale,3732,13/06/08,00:00:54,-19.4180273,23.623376,2.4
Ale,3732,13/06/08,02:00:15,-19.440222,23.5960472,4.6
Ale,3732,13/06/08,04:00:55,-19.4369281,23.5665722,3
Ale,3732,13/06/08,06:00:53,-19.4171137,23.6128974,3.2
Ale,3732,13/06/08,18:01:24,-19.4169814,23.6233526,2.2
Ale,3732,13/06/08,20:00:25,-19.4292313,23.6526028,3.2
Ale,3732,13/06/08,22:00:54,-19.4389247,23.6748117,5
Ale,3732,14/06/08,00:00:53,-19.4487959,23.6803593,3.4
Ale,3732,14/06/08,04:00:54,-19.5853233,23.7981118,3.8
Ale,3732,14/06/08,06:00:42,-19.5853135,23.7981205,2.8
Ale,3732,14/06/08,18:00:54,-19.63339,23.8065476,1.6
Ale,3732,14/06/08,20:00:54,-19.585238,23.7977859,3.8
Ale,3732,14/06/08,22:00:54,-19.5853286,23.7980539,2.2
Ale,3732,15/06/08,00:00:53,-19.5853139,23.7980036,3.4
Ale,3732,15/06/08,02:00:22,-19.585293,23.7979969,4
Ale,3732,15/06/08,04:00:56,-19.5850577,23.797851,1.8
Ale,3732,15/06/08,06:01:00,-19.5745004,23.7930357,5.4
Ale,3732,15/06/08,18:03:10,-19.4187748,23.6664498,10.8
Ale,3732,15/06/08,20:00:54,-19.4168942,23.6233952,3.4
Ale,3732,15/06/08,22:00:48,-19.4170428,23.6232682,2.4
Ale,3732,16/06/08,00:01:00,-19.4171322,23.6230332,2.6
Ale,3732,16/06/08,02:00:42,-19.417726,23.6233798,6.8
Ale,3732,16/06/08,04:00:49,-19.4179692,23.6233886,1.8
Ale,3732,16/06/08,06:01:24,-19.4169719,23.6233499,3
Ale,3732,16/06/08,18:00:47,-19.4169575,23.6233979,4.2
Ale,3732,16/06/08,20:00:20,-19.4277144,23.6382931,3.2
Ale,3732,16/06/08,22:01:40,-19.4210452,23.636442,7.4
Ale,3732,17/06/08,00:00:54,-19.4169484,23.6233395,3
Ale,3732,17/06/08,02:00:53,-19.4169319,23.6232883,2.6
Ale,3732,17/06/08,04:01:47,-19.416988,23.6233472,3.6
Ale,3732,17/06/08,06:00:55,-19.4164722,23.6226969,3
Ale,3732,17/06/08,18:01:50,-19.4169371,23.6234693,2.6
Ale,3732,17/06/08,20:00:50,-19.4209336,23.6402235,7
Ale,3732,17/06/08,22:02:22,-19.4541627,23.7655485,16.8
Ale,3732,18/06/08,00:00:44,-19.4499365,23.8095548,4.6
Ale,3732,18/06/08,02:00:41,-19.4499316,23.8096506,2.6
Ale,3732,18/06/08,04:00:48,-19.4628509,23.7925397,2.2
Ale,3732,18/06/08,06:00:52,-19.5392528,23.8259423,2.2
Ale,3732,18/06/08,18:01:50,-19.5925378,23.7948294,2.2
Ale,3732,18/06/08,20:00:33,-19.5835951,23.7954588,3.4
Ale,3732,18/06/08,22:00:48,-19.5319279,23.7834459,4.2
Ale,3732,19/06/08,00:01:23,-19.4407182,23.715393,2.8
Ale,3732,19/06/08,02:00:42,-19.4169193,23.6234224,6.2
Ale,3732,19/06/08,04:01:24,-19.4169728,23.6233723,3.8
Ale,3732,19/06/08,06:01:24,-19.4164198,23.6233052,2.2
Ale,3732,19/06/08,18:00:54,-19.4163305,23.6233303,5.2
Ale,3732,19/06/08,20:00:22,-19.4217868,23.5804559,3.6
Ale,3732,19/06/08,22:00:50,-19.3957867,23.5525494,2.8
Ale,3732,20/06/08,00:00:19,-19.415736,23.615072,2.8
Ale,3732,20/06/08,02:01:24,-19.4168883,23.6232529,2
Ale,3732,20/06/08,06:00:54,-19.4169616,23.6233205,3.2
Ale,3732,20/06/08,18:01:18,-19.4169545,23.6233286,3.2
Ale,3732,20/06/08,20:01:09,-19.4348299,23.6482428,8.4
Ale,3732,20/06/08,22:01:05,-19.4412254,23.6741581,6.8
Ale,3732,21/06/08,00:00:52,-19.4225145,23.6498157,2.8
Ale,3732,21/06/08,02:01:41,-19.4169288,23.6233728,3.6
Ale,3732,21/06/08,04:00:50,-19.4168885,23.623375,2
Ale,3732,21/06/08,06:00:51,-19.4169472,23.6233199,3
Ale,3732,21/06/08,18:00:47,-19.4169209,23.6234393,2.4
Ale,3732,21/06/08,20:00:48,-19.4170068,23.6232872,3
Ale,3732,21/06/08,22:01:24,-19.416971,23.6233472,3.2
Ale,3732,22/06/08,00:00:53,-19.4243839,23.6458768,2.8
Ale,3732,22/06/08,02:00:56,-19.4525592,23.7548595,3.6
Ale,3732,22/06/08,04:01:12,-19.5092565,23.7793016,3.8
Ale,3732,22/06/08,06:03:02,-19.6082664,23.7958127,5.6
Ale,3732,22/06/08,18:00:49,-19.6509418,23.8138082,2
Ale,3732,22/06/08,20:00:29,-19.6285411,23.7919107,4
Ale,3732,22/06/08,22:00:53,-19.6355609,23.7539396,4
Ale,3732,23/06/08,00:00:41,-19.6380701,23.7528378,2.4
Ale,3732,23/06/08,02:02:39,-19.6049162,23.7533138,1.6
Ale,3732,23/06/08,04:00:46,-19.6001382,23.7676995,2.8
Ale,3732,23/06/08,06:00:50,-19.6052399,23.7512525,7
Ale,3732,23/06/08,18:00:54,-19.615062,23.7509773,6.8
Ale,3732,23/06/08,20:00:42,-19.5968563,23.7919816,6.6
Ale,3732,23/06/08,22:00:47,-19.5529901,23.7848775,2.2
Ale,3732,24/06/08,00:01:05,-19.451404,23.7309387,6
Ale,3732,24/06/08,02:00:56,-19.4169199,23.6233472,3.8
Ale,3732,24/06/08,04:00:47,-19.4010594,23.6491573,3
Ale,3732,24/06/08,06:01:02,-19.4022799,23.6682554,3.6
Ale,3732,24/06/08,18:01:19,-19.4075369,23.6337199,7.2
Ale,3732,24/06/08,20:00:29,-19.4168986,23.6233592,4.8
Ale,3732,24/06/08,22:00:56,-19.4169536,23.6233259,3.6
Ale,3732,25/06/08,00:00:23,-19.417019,23.6232654,6.4
Ale,3732,25/06/08,04:01:43,-19.4358963,23.6534734,4.8
Ale,3732,25/06/08,06:00:54,-19.4163874,23.622856,1.8
Ale,3732,25/06/08,18:00:54,-19.416928,23.623103,7.2
Ale,3732,25/06/08,20:03:07,-19.416979,23.6233744,3.2
Ale,3732,25/06/08,22:00:49,-19.4169977,23.6232817,4.6
Ale,3732,26/06/08,00:00:54,-19.4169372,23.6233357,3.8
Ale,3732,26/06/08,02:01:29,-19.4360113,23.6803575,4.6
Ale,3732,26/06/08,04:01:53,-19.5217474,23.7706731,1.8
Ale,3732,26/06/08,06:00:06,-19.6056665,23.7512989,3.2
Ale,3732,26/06/08,18:01:11,-19.6365534,23.7418642,4.6
Ale,3732,26/06/08,20:00:54,-19.6144524,23.7834538,2.6
Ale,3732,26/06/08,22:00:54,-19.615226,23.771994,4.2
Ale,3732,27/06/08,00:00:55,-19.5897316,23.8009194,3.4
Ale,3732,27/06/08,02:00:54,-19.6134756,23.8022981,2.6
Ale,3732,27/06/08,04:00:55,-19.6390235,23.7678522,3
Ale,3732,27/06/08,06:00:53,-19.6365901,23.7416467,1.4
Ale,3732,27/06/08,18:00:54,-19.6230175,23.7491221,6
Ale,3732,27/06/08,20:00:25,-19.6050525,23.7513084,3.8
Ale,3732,27/06/08,22:00:53,-19.6050265,23.7513321,2.2
Ale,3732,28/06/08,00:00:55,-19.5898127,23.7645445,2.4
Ale,3732,28/06/08,02:00:53,-19.5515877,23.7656681,2.4
Ale,3732,28/06/08,04:01:11,-19.4695198,23.7572927,4.8
Ale,3732,28/06/08,06:01:48,-19.417127,23.6242591,2.4
Ale,3732,28/06/08,18:00:26,-19.4169272,23.6233559,3.2
Ale,3732,28/06/08,20:00:42,-19.4169567,23.623351,2.8
Ale,3732,28/06/08,22:00:53,-19.4169242,23.6233919,2
Ale,3732,29/06/08,00:00:35,-19.4179443,23.6233504,2.2
Ale,3732,29/06/08,02:00:56,-19.4181585,23.623617,3.8
Ale,3732,29/06/08,04:00:54,-19.4169884,23.6233401,2.4
Ale,3732,29/06/08,06:01:06,-19.4169314,23.6232828,2
Ale,3732,29/06/08,18:00:56,-19.4169503,23.6233406,3.6
Ale,3732,29/06/08,20:01:27,-19.4362763,23.6519305,11.6
Ale,3732,29/06/08,22:00:55,-19.4481398,23.7395031,6.8
Ale,3732,30/06/08,00:01:17,-19.504152,23.8043334,2.4
Ale,3732,30/06/08,02:00:53,-19.5905865,23.801866,2.8
Ale,3732,30/06/08,04:00:36,-19.5957815,23.8000309,2.2
Ale,3732,30/06/08,06:00:56,-19.6292529,23.804102,2
Ale,3732,30/06/08,18:00:54,-19.6494813,23.8173212,1.8
Ale,3732,30/06/08,20:00:52,-19.6494821,23.8173522,3
Ale,3732,30/06/08,22:00:47,-19.6499309,23.8180218,4.6
Ale,3732,01/07/08,00:00:54,-19.6174066,23.8077264,1.6
Ale,3732,01/07/08,02:00:29,-19.5801343,23.7943638,2.8
Ale,3732,01/07/08,04:01:24,-19.5122307,23.7759949,2.4
Ale,3732,01/07/08,06:01:03,-19.4250607,23.6883361,3.4
Ale,3732,01/07/08,18:00:50,-19.4168109,23.622983,2.4
Ale,3732,01/07/08,20:00:25,-19.4169446,23.6233488,2.2
Ale,3732,01/07/08,22:00:30,-19.4179721,23.6233482,3
Ale,3732,02/07/08,00:00:56,-19.4179523,23.6233117,1.6
Ale,3732,02/07/08,02:00:40,-19.4179772,23.6233019,2.4
Ale,3732,02/07/08,04:00:36,-19.4170559,23.6233586,5.2
Ale,3732,02/07/08,06:00:53,-19.4157164,23.6222287,3.6
Ale,3732,02/07/08,18:03:08,-19.4169104,23.6233445,3.6
Ale,3732,02/07/08,20:00:44,-19.4353117,23.62459,1.8
